,First Round,Second Round,Third Round,Fourth Round,Fifth Round,Sixth Round
Duke,1,1,1,0,0,0
N Dakota St,0,0,0,0,0,0
VA Commonwealth,0,0,0,0,0,0
UCF,1,0,0,0,0,0
Mississippi St,0,0,0,0,0,0
Liberty,1,0,0,0,0,0
Virginia Tech,1,1,0,0,0,0
St Louis,0,0,0,0,0,0
Maryland,1,0,0,0,0,0
Belmont,0,0,0,0,0,0
LSU,1,1,0,0,0,0
Yale,0,0,0,0,0,0
Louisville,0,0,0,0,0,0
Minnesota,1,0,0,0,0,0
Michigan St,1,1,1,1,0,0
Bradley,0,0,0,0,0,0
Gonzaga,1,1,1,0,0,0
F Dickinson,0,0,0,0,0,0
Syracuse,0,0,0,0,0,0
Baylor,1,0,0,0,0,0
Marquette,0,0,0,0,0,0
Murray St,1,0,0,0,0,0
Florida St,1,1,0,0,0,0
Vermont,0,0,0,0,0,0
Buffalo,1,0,0,0,0,0
Arizona St,0,0,0,0,0,0
Texas Tech,1,1,1,1,1,0
N Kentucky,0,0,0,0,0,0
Nevada,0,0,0,0,0,0
Florida,1,0,0,0,0,0
Michigan,1,1,0,0,0,0
Montana,0,0,0,0,0,0
Virginia,1,1,1,1,1,1
Gardner Webb,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0
Oklahoma,1,0,0,0,0,0
Wisconsin,0,0,0,0,0,0
Oregon,1,1,0,0,0,0
Kansas St,0,0,0,0,0,0
UC Irvine,1,0,0,0,0,0
Villanova,1,0,0,0,0,0
St Mary's CA,0,0,0,0,0,0
Purdue,1,1,1,0,0,0
Old Dominion,0,0,0,0,0,0
Cincinnati,0,0,0,0,0,0
Iowa,1,0,0,0,0,0
Tennessee,1,1,0,0,0,0
Colgate,0,0,0,0,0,0
North Carolina,1,1,0,0,0,0
Iona,0,0,0,0,0,0
Utah St,0,0,0,0,0,0
Washington,1,0,0,0,0,0
Auburn,1,1,1,1,0,0
New Mexico St,0,0,0,0,0,0
Kansas,1,0,0,0,0,0
Northeastern,0,0,0,0,0,0
Iowa St,0,0,0,0,0,0
Ohio St,1,0,0,0,0,0
Houston,1,1,0,0,0,0
Georgia St,0,0,0,0,0,0
Wofford,1,0,0,0,0,0
Seton Hall,0,0,0,0,0,0
Kentucky,1,1,1,0,0,0
Abilene Chr,0,0,0,0,0,0